colony_id,prot_ug,prot_ug.cm2,timepoint
ACR-414,9795.713944,471.1225079,FEBRUARY
ACR-415,5708.656866,379.5644206,FEBRUARY
ACR-416,20120.83114,814.1858243,FEBRUARY
ACR-417,27873.12808,817.479912,FEBRUARY
ACR-418,15643.18801,853.9861232,FEBRUARY
ACR-420,8728.386318,536.762429,FEBRUARY
ACR-421,11499.75627,547.9962739,FEBRUARY
ACR-422,22986.8737,791.2558979,FEBRUARY
ACR-423,17810.79924,957.2061109,FEBRUARY
ACR-424,13272.68718,741.4873515,FEBRUARY
ACR-425,15813.94224,578.9301306,FEBRUARY
ACR-426,20870.23689,870.5469477,FEBRUARY
ACR-427,8102.790395,439.2615729,FEBRUARY
ACR-428,8701.456389,722.0278338,FEBRUARY
ACR-429,14884.17167,585.5344207,FEBRUARY
ACR-430,20613.90035,1006.984045,FEBRUARY
ACR-431,18287.63303,703.4179397,FEBRUARY
ACR-432,25489.28387,781.4442864,FEBRUARY
ACR-433,8500.342539,581.3289642,FEBRUARY
ACR-434,13682.58546,546.5561712,FEBRUARY
ACR-435,14852.38913,743.0319481,FEBRUARY
ACR-436,10900.23916,753.7377263,FEBRUARY
ACR-437,17690.48413,1231.484128,FEBRUARY
ACR-438,12251.29536,663.0017722,FEBRUARY
ACR-439,16548.42126,758.3844221,FEBRUARY
ACR-448,21248.78264,1075.128434,FEBRUARY
ACR-451,15991.3648,876.0674627,FEBRUARY
ACR-456,11557.83165,673.4953248,FEBRUARY
ACR-457,31558.66129,731.2247329,FEBRUARY
ACR-458,18611.86665,838.1363866,FEBRUARY
ACR-459,24299.07494,943.9773877,FEBRUARY
ACR-460,9235.365121,654.6148514,FEBRUARY
ACR-461,13504.75305,739.8414639,FEBRUARY
ACR-462,6552.239704,444.195519,FEBRUARY
ACR-464,13769.48534,765.120503,FEBRUARY
ACR-465,18541.26602,694.2934706,FEBRUARY