colony_id,timepoint,homog_vol_ml,date_airbrushed,note
ACR-414,JUNE,5,20220725,
ACR-415,JUNE,5,20220725,
ACR-416,JUNE,6,20220725,
ACR-417,JUNE,5,20220725,
ACR-418,JUNE,5,20220725,
ACR-420,JUNE,5,20220725,
ACR-421,JUNE,7.5,20220725,
ACR-422,JUNE,5,20220725,
ACR-423,JUNE,7.5,20220725,
ACR-424,JUNE,5,20220725,
ACR-425,JUNE,5,20220725,
ACR-426,JUNE,5,20220725,
ACR-427,JUNE,7.5,20220725,
ACR-428,JUNE,5,20220725,
ACR-429,JUNE,5,20220725,
ACR-430,JUNE,5,20220725,
ACR-431,JUNE,6,20220725,
ACR-432,JUNE,5,20220725,
ACR-433,JUNE,5,20220725,
ACR-434,JUNE,5,20220725,
ACR-435,JUNE,10,20220725,
ACR-436,JUNE,7.5,20220725,
ACR-437,JUNE,10,20220725,
ACR-438,JUNE,7.5,20220725,
ACR-439,JUNE,6,20220725,
ACR-446,JUNE,7.5,20220725,
ACR-447,JUNE,7.5,20220725,
ACR-448,JUNE,5,20220725,
ACR-449,JUNE,7.5,20220725,
ACR-451,JUNE,5,20220725,
ACR-456,JUNE,7.5,20220725,
ACR-457,JUNE,5,20220725,
ACR-458,JUNE,7,20220725,
ACR-459,JUNE,5,20220725,
ACR-460,JUNE,10,20220725,
ACR-461,JUNE,10,20220725,
ACR-462,JUNE,7.5,20220725,
ACR-463,JUNE,5,20220725,
ACR-464,JUNE,6,20220725,
ACR-465,JUNE,5,20220725,