colony_id,partner,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
ACR-414,Host,Acropora,1.44587355,MAR,26.12114509
ACR-414,Sym,Acropora,0.595816349,MAR,13.08693467
ACR-415,Host,Acropora,1.832140256,MAR,61.05098474
ACR-415,Sym,Acropora,1.070202562,MAR,40.88677868
ACR-416,Host,Acropora,1.906139852,MAR,56.35861003
ACR-416,Sym,Acropora,0.868177563,MAR,35.40740833
ACR-417,Host,Acropora,1.98157388,MAR,40.69368997
ACR-417,Sym,Acropora,0.756887636,MAR,19.30811015
ACR-418,Host,Acropora,2.848696644,MAR,57.55410648
ACR-418,Sym,Acropora,1.274472082,MAR,31.87111837
ACR-420,Host,Acropora,1.730474509,MAR,34.5086698
ACR-420,Sym,Acropora,0.769540527,MAR,16.73948981
ACR-421,Host,Acropora,1.683367599,MAR,51.87710019
ACR-421,Sym,Acropora,1.287467743,MAR,73.25639751
ACR-422,Host,Acropora,1.372527279,MAR,41.25361015
ACR-422,Sym,Acropora,0.78726093,MAR,19.19689874
ACR-423,Host,Acropora,2.564144647,MAR,65.44538989
ACR-423,Sym,Acropora,0.715934272,MAR,46.3185111
ACR-424,Host,Acropora,1.621559688,MAR,49.55791892
ACR-424,Sym,Acropora,0.737427801,MAR,31.48134697
ACR-425,Host,Acropora,1.476511308,MAR,28.98932597
ACR-425,Sym,Acropora,0.925586721,MAR,17.68263259
ACR-426,Host,Acropora,2.052274678,MAR,66.51685576
ACR-426,Sym,Acropora,1.124210642,MAR,41.63030103
ACR-427,Host,Acropora,1.861653736,MAR,40.36232337
ACR-427,Sym,Acropora,0.808243301,MAR,36.42303533
ACR-428,Host,Acropora,1.694825119,MAR,56.28296189
ACR-428,Sym,Acropora,0.98840573,MAR,27.22511255
ACR-429,Host,Acropora,2.032242759,MAR,81.04600481
ACR-429,Sym,Acropora,0.989542752,MAR,52.26216888
ACR-430,Host,Acropora,2.260580917,MAR,46.70751308
ACR-430,Sym,Acropora,1.353843751,MAR,26.64710935
ACR-431,Host,Acropora,1.210572942,MAR,53.24696534
ACR-431,Sym,Acropora,0.431777351,MAR,20.5829074
ACR-432,Host,Acropora,2.92317533,MAR,153.4988568
ACR-432,Sym,Acropora,-22.55948025,MAR,86.37166027
ACR-433,Host,Acropora,2.211591868,MAR,60.61737521
ACR-433,Sym,Acropora,1.12352309,MAR,32.80714961
ACR-434,Host,Acropora,3.897419326,MAR,77.34393173
ACR-434,Sym,Acropora,0.655964844,MAR,75.64620221
ACR-435-419,Host,Acropora,2.182907726,MAR,42.17868056
ACR-435-419,Sym,Acropora,0.893907786,MAR,26.3011307
ACR-436,Host,Acropora,1.437345412,MAR,35.79973522
ACR-436,Sym,Acropora,0.679839163,MAR,19.94631966
ACR-437,Host,Acropora,2.757727314,MAR,29.70161158
ACR-437,Sym,Acropora,1.05282489,MAR,18.85768093
ACR-438,Host,Acropora,1.964192538,MAR,47.67354599
ACR-438,Sym,Acropora,0.960934255,MAR,24.59264436
ACR-439,Host,Acropora,2.244038253,MAR,96.06584025
ACR-439,Sym,Acropora,0.841012736,MAR,57.64121724
ACR-446,Host,Acropora,1.912369764,MAR,50.62066376
ACR-446,Sym,Acropora,1.060066697,MAR,25.23171223
ACR-447,Host,Acropora,0.689085326,MAR,15.91317012
ACR-447,Sym,Acropora,0.307279313,MAR,8.766862263
ACR-448,Host,Acropora,1.719500861,MAR,61.84692791
ACR-448,Sym,Acropora,0.825360413,MAR,32.27633561
ACR-449,Host,Acropora,-4.292501023,MAR,84.6427625
ACR-449,Sym,Acropora,1.001048824,MAR,44.28255792
ACR-451,Host,Acropora,1.359428995,MAR,25.71555149
ACR-451,Sym,Acropora,1.089859582,MAR,15.69158439
ACR-456,Host,Acropora,1.810234916,MAR,31.79446914
ACR-456,Sym,Acropora,0.794137043,MAR,13.56705996
ACR-457,Host,Acropora,1.538301046,MAR,35.71865775
ACR-457,Sym,Acropora,0.916434666,MAR,18.86805528
ACR-458,Host,Acropora,2.664351191,MAR,47.92279676
ACR-458,Sym,Acropora,1.023110857,MAR,33.00071964
ACR-459,Host,Acropora,2.00878461,MAR,69.81198727
ACR-459,Sym,Acropora,0.905323591,MAR,43.8481525
ACR-460,Host,Acropora,2.49174483,MAR,61.3226911
ACR-460,Sym,Acropora,0.709843405,MAR,36.01045318
ACR-461,Host,Acropora,1.673414386,MAR,43.27427216
ACR-461,Sym,Acropora,1.004048632,MAR,29.95103932
ACR-462,Host,Acropora,1.564436913,MAR,31.06223638
ACR-462,Sym,Acropora,0.707727922,MAR,20.05916578
ACR-463,Host,Acropora,2.88732963,MAR,46.88577855
ACR-463,Sym,Acropora,0.93023439,MAR,25.07112701
ACR-464,Host,Acropora,0.371263343,MAR,45.30364737
ACR-464,Sym,Acropora,0.892459958,MAR,37.33635983
ACR-465,Host,Acropora,3.342163247,MAR,39.01852112
ACR-465,Sym,Acropora,1.143250324,MAR,18.78279281