colony_id,Sample,Diameter,weight1.g,weight2.g,Notes
1,Standard,7.44,144.53,150.8,
2,Standard,6.22,98.881,102.779,
3,Standard,5.08,46.235,48.319,
4,Standard,3.16,12.464,13.243,
5,Standard,2.52,5.929,6.334,
6,Standard,1.9,2.27,2.498,
7,Standard,1.18,0.498,0.563,
ACR-435,Coral,NA,2.179,2.585,
ACR-432,Coral,NA,6.233,6.921,
ACR-451,Coral,NA,3.588,4.261,
ACR-416,Coral,NA,4.334,5.234,
ACR-457,Coral,NA,2.451,3.036,
ACR-418,Coral,NA,2.875,3.626,
ACR-433,Coral,NA,3.109,4.02,
ACR-421,Coral,NA,5.111,5.81,
ACR-449,Coral,NA,4.785,5.633,
ACR-417,Coral,NA,6.889,7.795,
ACR-438,Coral,NA,1.945,2.396,
ACR-423,Coral,NA,1.782,2.184,
ACR-428,Coral,NA,1.807,2.413,
ACR-414,Coral,NA,2.928,3.711,
ACR-461,Coral,NA,1.803,2.237,
ACR-464,Coral,NA,5.238,5.985,
ACR-415,Coral,NA,3.68,4.417,
ACR-459,Coral,NA,5.991,7.043,
ACR-458,Coral,NA,7.124,7.874,
ACR-437,Coral,NA,3.27,3.883,
ACR-439,Coral,NA,3.515,4.487,
ACR-462,Coral,NA,3.137,3.828,
ACR-425,Coral,NA,6.369,7.427,
ACR-448,Coral,NA,3.174,3.634,
ACR-431,Coral,NA,4.297,4.97,
ACR-424,Coral,NA,3.652,4.201,
ACR-427,Coral,NA,3.425,4.255,
ACR-460,Coral,NA,3.182,3.707,
ACR-422,Coral,NA,5.116,6.232,
ACR-465,Coral,NA,1.986,2.558,
ACR-430,Coral,NA,6.541,7.503,
ACR-436,Coral,NA,3.414,4.243,
ACR-446,Coral,NA,5.013,5.998,
ACR-434,Coral,NA,9.355,10.249,
ACR-426,Coral,NA,2.962,3.548,
ACR-447,Coral,NA,2.185,2.829,
ACR-456,Coral,NA,1.49,1.852,
ACR-429,Coral,NA,4.562,5.274,
ACR-420,Coral,NA,2.869,3.516,
ACR-463,Coral,NA,4.4,5.127,