colony_id,chla.ug.cm2,chlc2.ug.cm2,timepoint
ACR-414,1.172845761,0.347840188,OCTOBER
ACR-415,1.340812757,0.411684668,OCTOBER
ACR-416,1.810714972,0.452774313,OCTOBER
ACR-417,2.253245657,0.550116618,OCTOBER
ACR-418,2.732862795,0.624430892,OCTOBER
ACR-420,1.68661144,0.377079816,OCTOBER
ACR-421,3.284927379,0.875050675,OCTOBER
ACR-422,2.361020749,0.561375644,OCTOBER
ACR-423,3.151549626,0.773778798,OCTOBER
ACR-424,3.018480452,0.761226364,OCTOBER
ACR-425,2.000879417,0.524313917,OCTOBER
ACR-426,2.500606564,0.666120498,OCTOBER
ACR-427,1.214087877,0.293501745,OCTOBER
ACR-428,2.307860669,0.50962161,OCTOBER
ACR-429,3.944084126,0.886137161,OCTOBER
ACR-430,1.757015806,0.415482419,OCTOBER
ACR-431,1.515146126,0.322652834,OCTOBER
ACR-432,2.821599657,0.700877687,OCTOBER
ACR-433,2.539411364,0.531134975,OCTOBER
ACR-434,1.593609068,0.305861192,OCTOBER
ACR-435,1.817991358,0.40529597,OCTOBER
ACR-436,1.308115828,0.28520788,OCTOBER
ACR-437,1.642728509,0.32529578,OCTOBER
ACR-438,1.849703342,0.453271082,OCTOBER
ACR-439,3.086612349,0.692842501,OCTOBER
ACR-446,1.675199824,0.328778421,OCTOBER
ACR-447,1.125326713,0.380442774,OCTOBER
ACR-448,3.793015905,0.862388236,OCTOBER
ACR-449,2.937075772,0.765153747,OCTOBER
ACR-451,2.00946435,0.493762988,OCTOBER
ACR-456,3.047023457,0.725263482,OCTOBER
ACR-457,2.562165376,0.634741192,OCTOBER
ACR-458,2.342418217,0.597198543,OCTOBER
ACR-459,0.689479095,0.161324578,OCTOBER
ACR-460,1.35969981,0.294822338,OCTOBER
ACR-461,3.439864804,0.734659637,OCTOBER
ACR-462,1.654986971,0.36669605,OCTOBER
ACR-463,1.680017165,0.399853866,OCTOBER
ACR-464,1.009844227,0.239364311,OCTOBER
ACR-465,5.25637508,1.247885683,OCTOBER