coral.ID,site,treatment,timepoint,file.name,image.name,patch,grid,scale,units,stage.1,stage.2,stage.3,stage.4,stage.5,total.gametes,need.to.redo
ACR_414_20211210,Mahana,,,,,,,,,,,,,,,
ACR_465_20211210,,,,,,,,,,,,,,,,
ACR_437_20211210,,,,,,,,,,,,,,,,
ACR_426_20211210,,,,,,,,,,,,,,,,
ACR_420_20211210,,,,,,,,,,,,,,,,
ACR_416_20220126,,,,,,,,,,,,,,,,
ACR_418_20220126,,,,,,,,,,,,,,,,
ACR_435_20220126,,,,,,,,,,,,,,,,
ACR_422_20220126,,,,,,,,,,,,,,,,
ACR_456_20220126,,,,,,,,,,,,,,,,
ACR_415_20220215,,,,,,,,,,,,,,,,
ACR_427_20220215,,,,,,,,,,,,,,,,
ACR_460_20220215,,,,,,,,,,,,,,,,
ACR_439_20220215,,,,,,,,,,,,,,,,
ACR_433_20220215,,,,,,,,,,,,,,,,
ACR_421_20220315,,,,,,,,,,,,,,,,
ACR_430_20220315,,,,,,,,,,,,,,,,
ACR_434_20220315,,,,,,,,,,,,,,,,
ACR_458_20220315,,,,,,,,,,,,,,,,
ACR_461_20220315,,,,,,,,,,,,,,,,
ACR_417_20220414,,,,,,,,,,,,,,,,
ACR_422_20220414,,,,,,,,,,,,,,,,
ACR_424_20220414,,,,,,,,,,,,,,,,
ACR_426_20220414,,,,,,,,,,,,,,,,
ACR_459_20220414,,,,,,,,,,,,,,,,
ACR_423_20220515,,,,,,,,,,,,,,,,
ACR_425_20220515,,,,,,,,,,,,,,,,
ACR_427_20220515,,,,,,,,,,,,,,,,
ACR_428_20220515,,,,,,,,,,,,,,,,
ACR_429_20220515,,,,,,,,,,,,,,,,
ACR_431_20220616,,,,,,,,,,,,,,,,
ACR_432_20220616,,,,,,,,,,,,,,,,
ACR_436_20220616,,,,,,,,,,,,,,,,
ACR_438_20220616,,,,,,,,,,,,,,,,
ACR_446_20220616,,,,,,,,,,,,,,,,
ACR_430_20220728,,,,,,,,,,,,,,,,
ACR_448_20220728,,,,,,,,,,,,,,,,
ACR_449_20220728,,,,,,,,,,,,,,,,
ACR_451_20220728,,,,,,,,,,,,,,,,
ACR_457_20220728,,,,,,,,,,,,,,,,
ACR_462_20220811,,,,,,,,,,,,,,,,
ACR_463_20220811,,,,,,,,,,,,,,,,
ACR_464_20220811,,,,,,,,,,,,,,,,
ACR_423_20220811,,,,,,,,,,,,,,,,
ACR_437_20220811,,,,,,,,,,,,,,,,
ACR_421_20220917,,,,,,,,,,,,,,,,
ACR_430_20220917,,,,,,,,,,,,,,,,
ACR_434_20220917,,,,,,,,,,,,,,,,
ACR_458_20220917,,,,,,,,,,,,,,,,
ACR_461_20220917,,,,,,,,,,,,,,,,
ACR_417_20221015,,,,,,,,,,,,,,,,
ACR_422_20221015,,,,,,,,,,,,,,,,
ACR_424_20221015,,,,,,,,,,,,,,,,
ACR_426_20221015,,,,,,,,,,,,,,,,
ACR_459_20221015,,,,,,,,,,,,,,,,
ACR_423_20221114,,,,,,,,,,,,,,,,
ACR_425_20221114,,,,,,,,,,,,,,,,
ACR_427_20221114,,,,,,,,,,,,,,,,
ACR_428_20221114,,,,,,,,,,,,,,,,
ACR_429_20221114,,,,,,,,,,,,,,,,
HF_433_20220922,,,,,,,,,,,,,,,,
HF_416_20220922,,,,,,,,,,,,,,,,
HF_424_20220922,,,,,,,,,,,,,,,,
HF_448_20220922,,,,,,,,,,,,,,,,
HF_437_20220922,,,,,,,,,,,,,,,,
HF_433_20220927,,,,,,,,,,,,,,,,
HF_416_20220927,,,,,,,,,,,,,,,,
HF_424_20220927,,,,,,,,,,,,,,,,
HF_448_20220927,,,,,,,,,,,,,,,,
HF_437_20220927,,,,,,,,,,,,,,,,
HF_433_20221002,,,,,,,,,,,,,,,,
HF_416_20221002,,,,,,,,,,,,,,,,
HF_424_20221002,,,,,,,,,,,,,,,,
HF_448_20221002,,,,,,,,,,,,,,,,
HF_437_20221002,,,,,,,,,,,,,,,,
HF_433_20221007,,,,,,,,,,,,,,,,
HF_416_20221007,,,,,,,,,,,,,,,,
HF_424_20221007,,,,,,,,,,,,,,,,
HF_448_20221007,,,,,,,,,,,,,,,,
HF_437_20221007,,,,,,,,,,,,,,,,
HF_433_20221012,,,,,,,,,,,,,,,,
HF_416_20221012,,,,,,,,,,,,,,,,
HF_424_20221012,,,,,,,,,,,,,,,,
HF_448_20221012,,,,,,,,,,,,,,,,
HF_437_20221012,,,,,,,,,,,,,,,,
HF_433_20221021,,,,,,,,,,,,,,,,
HF_416_20221021,,,,,,,,,,,,,,,,
HF_424_20221021,,,,,,,,,,,,,,,,
HF_448_20221021,,,,,,,,,,,,,,,,
HF_437_20221021,,,,,,,,,,,,,,,,